Sequence,Description,Status,Notes,Sequence,Description,Status,Notes,Sequence,Description,Status,Notes
00:00,Work 0: NchantdMoonBags,,,08:00,sleep,,,16:00,Work 0: NchantdMoonBags,,
00:15,Work 0: NchantdMoonBags,,,08:15,sleep,,,16:15,Work 0: NchantdMoonBags,,
00:30,Work 0: NchantdMoonBags,,,08:30,sleep,,,16:30,Work 0: NchantdMoonBags,,
00:45,Work 0: NchantdMoonBags,,,08:45,sleep,,,16:45,Work 0: NchantdMoonBags,,
01:00,Work 0: NchantdMoonBags,,,09:00,sleep,,,17:00,Work 0: NchantdMoonBags,,
01:15,Work 0: NchantdMoonBags,,,09:15,sleep,,,17:15,Work 0: NchantdMoonBags,,
01:30,Work 0: NchantdMoonBags,,,09:30,Wake Up,,,17:30,Work 0: NchantdMoonBags,,
01:45,Work 0: NchantdMoonBags,,,09:45,Take Vitamins,,,17:45,Smoke Break,,
02:00,Chill,,,10:00,"Review Status of FIN, WORK, and MON",,,18:00,Make Dinner,,
02:15,Chill,,,10:15,Work 0: NchantdMoonBags,,,18:15,Eat Dinner,,
02:30,sleep,,,10:30,Work 0: NchantdMoonBags,,,18:30,Eat Dinner,,
02:45,sleep,,,10:45,Work 0: NchantdMoonBags,,,18:45,Work 0: NchantdMoonBags,,
03:00,sleep,,,11:00,Smoke Break,,,19:00,Work 0: NchantdMoonBags,,
03:15,sleep,,,11:15,Work 0: NchantdMoonBags,,,19:15,Work 0: NchantdMoonBags,,
03:30,sleep,,,11:30,Work 0: NchantdMoonBags,,,19:30,Work 0: NchantdMoonBags,,
03:45,sleep,,,11:45,Work 0: NchantdMoonBags,,,19:45,Work 0: NchantdMoonBags,,
04:00,sleep,,,12:00,Work 0: NchantdMoonBags,,,20:00,Work 0: NchantdMoonBags,,
04:15,sleep,,,12:15,Work 0: NchantdMoonBags,,,20:15,Work 0: NchantdMoonBags,,
04:30,sleep,,,12:30,Work 0: NchantdMoonBags,,,20:30,Work 0: NchantdMoonBags,,
04:45,sleep,,,12:45,Make Lunch – Smoke Break,,,20:45,Snack,,
05:00,sleep,,,13:00,Eat Lunch,,,21:00,Smoke Break,,
05:15,sleep,,,13:15,Eat Lunch – Feed Dogs,,,21:15,Work 0: NchantdMoonBags,,
05:30,sleep,,,13:30,Work 0: NchantdMoonBags,,,21:30,Work 0: NchantdMoonBags,,
05:45,sleep,,,13:45,Work 0: NchantdMoonBags,,,21:45,Work 0: NchantdMoonBags,,
06:00,sleep,,,14:00,Work 0: NchantdMoonBags,,,22:00,Work 0: NchantdMoonBags,,
06:15,sleep,,,14:15,Work 0: NchantdMoonBags,,,22:15,Work 0: NchantdMoonBags,,
06:30,sleep,,,14:30,Work 0: NchantdMoonBags,,,22:30,Work 0: NchantdMoonBags,,
06:45,sleep,,,14:45,Work 0: NchantdMoonBags,,,22:45,Work 0: NchantdMoonBags,,
07:00,sleep,,,15:00,Smoke Break,,,23:00,Work 0: NchantdMoonBags,,
07:15,sleep,,,15:15,Work 0: NchantdMoonBags,,,23:15,Work 0: NchantdMoonBags,,
07:30,sleep,,,15:30,Work 0: NchantdMoonBags,,,23:30,Work 0: NchantdMoonBags,,
07:45,sleep,,,15:45,Work 0: NchantdMoonBags,,,23:45,Smoke Break,,
